test_data\images\DJI_0009_patch_00.JPG test_data\masks\DJI_0009_patch_00.JPG
test_data\images\DJI_0526_patch_02.JPG test_data\masks\DJI_0526_patch_02.JPG
test_data\images\DJI_0526_patch_03.JPG test_data\masks\DJI_0526_patch_03.JPG
test_data\images\DJI_0526_patch_04.JPG test_data\masks\DJI_0526_patch_04.JPG
test_data\images\DJI_0526_patch_05.JPG test_data\masks\DJI_0526_patch_05.JPG
test_data\images\DJI_0526_patch_06.JPG test_data\masks\DJI_0526_patch_06.JPG
test_data\images\DJI_0526_patch_10.JPG test_data\masks\DJI_0526_patch_10.JPG
test_data\images\DJI_0526_patch_11.JPG test_data\masks\DJI_0526_patch_11.JPG
test_data\images\DJI_0526_patch_12.JPG test_data\masks\DJI_0526_patch_12.JPG
test_data\images\DJI_0526_patch_13.JPG test_data\masks\DJI_0526_patch_13.JPG
test_data\images\DJI_0526_patch_14.JPG test_data\masks\DJI_0526_patch_14.JPG
test_data\images\DJI_0526_patch_15.JPG test_data\masks\DJI_0526_patch_15.JPG
test_data\images\DJI_0526_patch_16.JPG test_data\masks\DJI_0526_patch_16.JPG
test_data\images\DJI_0526_patch_20.JPG test_data\masks\DJI_0526_patch_20.JPG
test_data\images\DJI_0526_patch_21.JPG test_data\masks\DJI_0526_patch_21.JPG
test_data\images\DJI_0526_patch_22.JPG test_data\masks\DJI_0526_patch_22.JPG
test_data\images\DJI_0526_patch_23.JPG test_data\masks\DJI_0526_patch_23.JPG
test_data\images\DJI_0526_patch_24.JPG test_data\masks\DJI_0526_patch_24.JPG
test_data\images\DJI_0526_patch_25.JPG test_data\masks\DJI_0526_patch_25.JPG
test_data\images\DJI_0526_patch_26.JPG test_data\masks\DJI_0526_patch_26.JPG
test_data\images\DJI_0526_patch_30.JPG test_data\masks\DJI_0526_patch_30.JPG
test_data\images\DJI_0526_patch_31.JPG test_data\masks\DJI_0526_patch_31.JPG
test_data\images\DJI_0526_patch_32.JPG test_data\masks\DJI_0526_patch_32.JPG
test_data\images\DJI_0526_patch_33.JPG test_data\masks\DJI_0526_patch_33.JPG
test_data\images\DJI_0526_patch_34.JPG test_data\masks\DJI_0526_patch_34.JPG
test_data\images\DJI_0526_patch_35.JPG test_data\masks\DJI_0526_patch_35.JPG
test_data\images\DJI_0526_patch_36.JPG test_data\masks\DJI_0526_patch_36.JPG
test_data\images\DJI_0526_patch_40.JPG test_data\masks\DJI_0526_patch_40.JPG
test_data\images\DJI_0526_patch_41.JPG test_data\masks\DJI_0526_patch_41.JPG
test_data\images\DJI_0526_patch_42.JPG test_data\masks\DJI_0526_patch_42.JPG
test_data\images\DJI_0526_patch_43.JPG test_data\masks\DJI_0526_patch_43.JPG
test_data\images\DJI_0526_patch_44.JPG test_data\masks\DJI_0526_patch_44.JPG
test_data\images\DJI_0526_patch_45.JPG test_data\masks\DJI_0526_patch_45.JPG
test_data\images\DJI_0526_patch_46.JPG test_data\masks\DJI_0526_patch_46.JPG
test_data\images\DJI_0636_patch_00.JPG test_data\masks\DJI_0636_patch_00.JPG
test_data\images\DJI_0636_patch_01.JPG test_data\masks\DJI_0636_patch_01.JPG
test_data\images\DJI_0636_patch_02.JPG test_data\masks\DJI_0636_patch_02.JPG
test_data\images\DJI_0636_patch_03.JPG test_data\masks\DJI_0636_patch_03.JPG
test_data\images\DJI_0636_patch_04.JPG test_data\masks\DJI_0636_patch_04.JPG
test_data\images\DJI_0636_patch_05.JPG test_data\masks\DJI_0636_patch_05.JPG
test_data\images\DJI_0636_patch_06.JPG test_data\masks\DJI_0636_patch_06.JPG
test_data\images\DJI_0636_patch_10.JPG test_data\masks\DJI_0636_patch_10.JPG
test_data\images\DJI_0636_patch_11.JPG test_data\masks\DJI_0636_patch_11.JPG
test_data\images\DJI_0636_patch_12.JPG test_data\masks\DJI_0636_patch_12.JPG
test_data\images\DJI_0636_patch_13.JPG test_data\masks\DJI_0636_patch_13.JPG
test_data\images\DJI_0636_patch_14.JPG test_data\masks\DJI_0636_patch_14.JPG
test_data\images\DJI_0636_patch_15.JPG test_data\masks\DJI_0636_patch_15.JPG
test_data\images\DJI_0636_patch_16.JPG test_data\masks\DJI_0636_patch_16.JPG
test_data\images\DJI_0636_patch_20.JPG test_data\masks\DJI_0636_patch_20.JPG
test_data\images\DJI_0636_patch_21.JPG test_data\masks\DJI_0636_patch_21.JPG
test_data\images\DJI_0636_patch_22.JPG test_data\masks\DJI_0636_patch_22.JPG
test_data\images\DJI_0636_patch_23.JPG test_data\masks\DJI_0636_patch_23.JPG
test_data\images\DJI_0636_patch_24.JPG test_data\masks\DJI_0636_patch_24.JPG
test_data\images\DJI_0636_patch_25.JPG test_data\masks\DJI_0636_patch_25.JPG
test_data\images\DJI_0636_patch_26.JPG test_data\masks\DJI_0636_patch_26.JPG
test_data\images\DJI_0636_patch_30.JPG test_data\masks\DJI_0636_patch_30.JPG
test_data\images\DJI_0636_patch_31.JPG test_data\masks\DJI_0636_patch_31.JPG
test_data\images\DJI_0636_patch_32.JPG test_data\masks\DJI_0636_patch_32.JPG
test_data\images\DJI_0636_patch_33.JPG test_data\masks\DJI_0636_patch_33.JPG
test_data\images\DJI_0636_patch_34.JPG test_data\masks\DJI_0636_patch_34.JPG
test_data\images\DJI_0636_patch_35.JPG test_data\masks\DJI_0636_patch_35.JPG
test_data\images\DJI_0636_patch_36.JPG test_data\masks\DJI_0636_patch_36.JPG
test_data\images\DJI_0636_patch_40.JPG test_data\masks\DJI_0636_patch_40.JPG
test_data\images\DJI_0636_patch_41.JPG test_data\masks\DJI_0636_patch_41.JPG
test_data\images\DJI_0636_patch_42.JPG test_data\masks\DJI_0636_patch_42.JPG
test_data\images\DJI_0636_patch_43.JPG test_data\masks\DJI_0636_patch_43.JPG
test_data\images\DJI_0636_patch_44.JPG test_data\masks\DJI_0636_patch_44.JPG
test_data\images\DJI_0636_patch_45.JPG test_data\masks\DJI_0636_patch_45.JPG
test_data\images\DJI_0636_patch_46.JPG test_data\masks\DJI_0636_patch_46.JPG
test_data\images\DJI_0674_patch_00.JPG test_data\masks\DJI_0674_patch_00.JPG
test_data\images\DJI_0674_patch_01.JPG test_data\masks\DJI_0674_patch_01.JPG
test_data\images\DJI_0674_patch_02.JPG test_data\masks\DJI_0674_patch_02.JPG
test_data\images\DJI_0674_patch_03.JPG test_data\masks\DJI_0674_patch_03.JPG
test_data\images\DJI_0674_patch_04.JPG test_data\masks\DJI_0674_patch_04.JPG
test_data\images\DJI_0674_patch_05.JPG test_data\masks\DJI_0674_patch_05.JPG
test_data\images\DJI_0674_patch_06.JPG test_data\masks\DJI_0674_patch_06.JPG
test_data\images\DJI_0674_patch_10.JPG test_data\masks\DJI_0674_patch_10.JPG
test_data\images\DJI_0674_patch_11.JPG test_data\masks\DJI_0674_patch_11.JPG
test_data\images\DJI_0674_patch_12.JPG test_data\masks\DJI_0674_patch_12.JPG
test_data\images\DJI_0674_patch_13.JPG test_data\masks\DJI_0674_patch_13.JPG
test_data\images\DJI_0674_patch_14.JPG test_data\masks\DJI_0674_patch_14.JPG
test_data\images\DJI_0674_patch_15.JPG test_data\masks\DJI_0674_patch_15.JPG
test_data\images\DJI_0674_patch_16.JPG test_data\masks\DJI_0674_patch_16.JPG
test_data\images\DJI_0674_patch_20.JPG test_data\masks\DJI_0674_patch_20.JPG
test_data\images\DJI_0674_patch_21.JPG test_data\masks\DJI_0674_patch_21.JPG
test_data\images\DJI_0674_patch_22.JPG test_data\masks\DJI_0674_patch_22.JPG
test_data\images\DJI_0674_patch_23.JPG test_data\masks\DJI_0674_patch_23.JPG
test_data\images\DJI_0674_patch_24.JPG test_data\masks\DJI_0674_patch_24.JPG
test_data\images\DJI_0674_patch_25.JPG test_data\masks\DJI_0674_patch_25.JPG
test_data\images\DJI_0674_patch_26.JPG test_data\masks\DJI_0674_patch_26.JPG
test_data\images\DJI_0674_patch_30.JPG test_data\masks\DJI_0674_patch_30.JPG
test_data\images\DJI_0674_patch_31.JPG test_data\masks\DJI_0674_patch_31.JPG
test_data\images\DJI_0674_patch_32.JPG test_data\masks\DJI_0674_patch_32.JPG
test_data\images\DJI_0674_patch_33.JPG test_data\masks\DJI_0674_patch_33.JPG
test_data\images\DJI_0674_patch_34.JPG test_data\masks\DJI_0674_patch_34.JPG
test_data\images\DJI_0674_patch_35.JPG test_data\masks\DJI_0674_patch_35.JPG
test_data\images\DJI_0674_patch_36.JPG test_data\masks\DJI_0674_patch_36.JPG
test_data\images\DJI_0674_patch_40.JPG test_data\masks\DJI_0674_patch_40.JPG
test_data\images\DJI_0674_patch_41.JPG test_data\masks\DJI_0674_patch_41.JPG
test_data\images\DJI_0674_patch_42.JPG test_data\masks\DJI_0674_patch_42.JPG
test_data\images\DJI_0674_patch_43.JPG test_data\masks\DJI_0674_patch_43.JPG
test_data\images\DJI_0674_patch_44.JPG test_data\masks\DJI_0674_patch_44.JPG
test_data\images\DJI_0674_patch_45.JPG test_data\masks\DJI_0674_patch_45.JPG
test_data\images\DJI_0674_patch_46.JPG test_data\masks\DJI_0674_patch_46.JPG
test_data\images\DJI_0730_patch_00.JPG test_data\masks\DJI_0730_patch_00.JPG
test_data\images\DJI_0730_patch_01.JPG test_data\masks\DJI_0730_patch_01.JPG
test_data\images\DJI_0730_patch_02.JPG test_data\masks\DJI_0730_patch_02.JPG
test_data\images\DJI_0730_patch_03.JPG test_data\masks\DJI_0730_patch_03.JPG
test_data\images\DJI_0730_patch_04.JPG test_data\masks\DJI_0730_patch_04.JPG
test_data\images\DJI_0730_patch_05.JPG test_data\masks\DJI_0730_patch_05.JPG
test_data\images\DJI_0730_patch_06.JPG test_data\masks\DJI_0730_patch_06.JPG
test_data\images\DJI_0730_patch_10.JPG test_data\masks\DJI_0730_patch_10.JPG
test_data\images\DJI_0730_patch_11.JPG test_data\masks\DJI_0730_patch_11.JPG
test_data\images\DJI_0730_patch_12.JPG test_data\masks\DJI_0730_patch_12.JPG
test_data\images\DJI_0730_patch_13.JPG test_data\masks\DJI_0730_patch_13.JPG
test_data\images\DJI_0730_patch_14.JPG test_data\masks\DJI_0730_patch_14.JPG
test_data\images\DJI_0730_patch_15.JPG test_data\masks\DJI_0730_patch_15.JPG
test_data\images\DJI_0730_patch_16.JPG test_data\masks\DJI_0730_patch_16.JPG
test_data\images\DJI_0730_patch_20.JPG test_data\masks\DJI_0730_patch_20.JPG
test_data\images\DJI_0730_patch_21.JPG test_data\masks\DJI_0730_patch_21.JPG
test_data\images\DJI_0730_patch_22.JPG test_data\masks\DJI_0730_patch_22.JPG
test_data\images\DJI_0730_patch_23.JPG test_data\masks\DJI_0730_patch_23.JPG
test_data\images\DJI_0730_patch_24.JPG test_data\masks\DJI_0730_patch_24.JPG
test_data\images\DJI_0730_patch_25.JPG test_data\masks\DJI_0730_patch_25.JPG
test_data\images\DJI_0730_patch_26.JPG test_data\masks\DJI_0730_patch_26.JPG
test_data\images\DJI_0730_patch_30.JPG test_data\masks\DJI_0730_patch_30.JPG
test_data\images\DJI_0730_patch_31.JPG test_data\masks\DJI_0730_patch_31.JPG
test_data\images\DJI_0730_patch_32.JPG test_data\masks\DJI_0730_patch_32.JPG
test_data\images\DJI_0730_patch_33.JPG test_data\masks\DJI_0730_patch_33.JPG
test_data\images\DJI_0730_patch_34.JPG test_data\masks\DJI_0730_patch_34.JPG
test_data\images\DJI_0730_patch_35.JPG test_data\masks\DJI_0730_patch_35.JPG
test_data\images\DJI_0730_patch_36.JPG test_data\masks\DJI_0730_patch_36.JPG
test_data\images\DJI_0730_patch_40.JPG test_data\masks\DJI_0730_patch_40.JPG
test_data\images\DJI_0730_patch_41.JPG test_data\masks\DJI_0730_patch_41.JPG
test_data\images\DJI_0730_patch_42.JPG test_data\masks\DJI_0730_patch_42.JPG
test_data\images\DJI_0730_patch_43.JPG test_data\masks\DJI_0730_patch_43.JPG
test_data\images\DJI_0730_patch_44.JPG test_data\masks\DJI_0730_patch_44.JPG
test_data\images\DJI_0730_patch_45.JPG test_data\masks\DJI_0730_patch_45.JPG
test_data\images\DJI_0730_patch_46.JPG test_data\masks\DJI_0730_patch_46.JPG
test_data\images\DJI_0739_patch_00.JPG test_data\masks\DJI_0739_patch_00.JPG
test_data\images\DJI_0739_patch_01.JPG test_data\masks\DJI_0739_patch_01.JPG
test_data\images\DJI_0739_patch_02.JPG test_data\masks\DJI_0739_patch_02.JPG
test_data\images\DJI_0739_patch_03.JPG test_data\masks\DJI_0739_patch_03.JPG
test_data\images\DJI_0739_patch_04.JPG test_data\masks\DJI_0739_patch_04.JPG
test_data\images\DJI_0739_patch_05.JPG test_data\masks\DJI_0739_patch_05.JPG
test_data\images\DJI_0739_patch_06.JPG test_data\masks\DJI_0739_patch_06.JPG
test_data\images\DJI_0739_patch_10.JPG test_data\masks\DJI_0739_patch_10.JPG
test_data\images\DJI_0739_patch_11.JPG test_data\masks\DJI_0739_patch_11.JPG
test_data\images\DJI_0739_patch_12.JPG test_data\masks\DJI_0739_patch_12.JPG
test_data\images\DJI_0739_patch_13.JPG test_data\masks\DJI_0739_patch_13.JPG
test_data\images\DJI_0739_patch_14.JPG test_data\masks\DJI_0739_patch_14.JPG
test_data\images\DJI_0739_patch_15.JPG test_data\masks\DJI_0739_patch_15.JPG
test_data\images\DJI_0739_patch_16.JPG test_data\masks\DJI_0739_patch_16.JPG
test_data\images\DJI_0739_patch_20.JPG test_data\masks\DJI_0739_patch_20.JPG
test_data\images\DJI_0739_patch_21.JPG test_data\masks\DJI_0739_patch_21.JPG
test_data\images\DJI_0739_patch_22.JPG test_data\masks\DJI_0739_patch_22.JPG
test_data\images\DJI_0739_patch_23.JPG test_data\masks\DJI_0739_patch_23.JPG
test_data\images\DJI_0739_patch_24.JPG test_data\masks\DJI_0739_patch_24.JPG
test_data\images\DJI_0739_patch_25.JPG test_data\masks\DJI_0739_patch_25.JPG
test_data\images\DJI_0739_patch_26.JPG test_data\masks\DJI_0739_patch_26.JPG
test_data\images\DJI_0739_patch_30.JPG test_data\masks\DJI_0739_patch_30.JPG
test_data\images\DJI_0739_patch_31.JPG test_data\masks\DJI_0739_patch_31.JPG
test_data\images\DJI_0739_patch_32.JPG test_data\masks\DJI_0739_patch_32.JPG
test_data\images\DJI_0739_patch_33.JPG test_data\masks\DJI_0739_patch_33.JPG
test_data\images\DJI_0739_patch_34.JPG test_data\masks\DJI_0739_patch_34.JPG
test_data\images\DJI_0739_patch_35.JPG test_data\masks\DJI_0739_patch_35.JPG
test_data\images\DJI_0739_patch_36.JPG test_data\masks\DJI_0739_patch_36.JPG
test_data\images\DJI_0739_patch_40.JPG test_data\masks\DJI_0739_patch_40.JPG
test_data\images\DJI_0739_patch_41.JPG test_data\masks\DJI_0739_patch_41.JPG
test_data\images\DJI_0739_patch_42.JPG test_data\masks\DJI_0739_patch_42.JPG
test_data\images\DJI_0739_patch_43.JPG test_data\masks\DJI_0739_patch_43.JPG
test_data\images\DJI_0739_patch_44.JPG test_data\masks\DJI_0739_patch_44.JPG
test_data\images\DJI_0739_patch_45.JPG test_data\masks\DJI_0739_patch_45.JPG
test_data\images\DJI_0739_patch_46.JPG test_data\masks\DJI_0739_patch_46.JPG
test_data\images\DJI_0767_patch_00.JPG test_data\masks\DJI_0767_patch_00.JPG
test_data\images\DJI_0767_patch_01.JPG test_data\masks\DJI_0767_patch_01.JPG
test_data\images\DJI_0767_patch_02.JPG test_data\masks\DJI_0767_patch_02.JPG
test_data\images\DJI_0767_patch_03.JPG test_data\masks\DJI_0767_patch_03.JPG
test_data\images\DJI_0767_patch_04.JPG test_data\masks\DJI_0767_patch_04.JPG
test_data\images\DJI_0767_patch_05.JPG test_data\masks\DJI_0767_patch_05.JPG
test_data\images\DJI_0767_patch_06.JPG test_data\masks\DJI_0767_patch_06.JPG
test_data\images\DJI_0767_patch_10.JPG test_data\masks\DJI_0767_patch_10.JPG
test_data\images\DJI_0767_patch_11.JPG test_data\masks\DJI_0767_patch_11.JPG
test_data\images\DJI_0767_patch_12.JPG test_data\masks\DJI_0767_patch_12.JPG
test_data\images\DJI_0767_patch_13.JPG test_data\masks\DJI_0767_patch_13.JPG
test_data\images\DJI_0767_patch_14.JPG test_data\masks\DJI_0767_patch_14.JPG
test_data\images\DJI_0767_patch_15.JPG test_data\masks\DJI_0767_patch_15.JPG
test_data\images\DJI_0767_patch_16.JPG test_data\masks\DJI_0767_patch_16.JPG
test_data\images\DJI_0767_patch_20.JPG test_data\masks\DJI_0767_patch_20.JPG
test_data\images\DJI_0767_patch_21.JPG test_data\masks\DJI_0767_patch_21.JPG
test_data\images\DJI_0767_patch_22.JPG test_data\masks\DJI_0767_patch_22.JPG
test_data\images\DJI_0767_patch_23.JPG test_data\masks\DJI_0767_patch_23.JPG
test_data\images\DJI_0767_patch_24.JPG test_data\masks\DJI_0767_patch_24.JPG
test_data\images\DJI_0767_patch_25.JPG test_data\masks\DJI_0767_patch_25.JPG
test_data\images\DJI_0767_patch_26.JPG test_data\masks\DJI_0767_patch_26.JPG
test_data\images\DJI_0767_patch_30.JPG test_data\masks\DJI_0767_patch_30.JPG
test_data\images\DJI_0767_patch_31.JPG test_data\masks\DJI_0767_patch_31.JPG
test_data\images\DJI_0767_patch_32.JPG test_data\masks\DJI_0767_patch_32.JPG
test_data\images\DJI_0767_patch_33.JPG test_data\masks\DJI_0767_patch_33.JPG
test_data\images\DJI_0767_patch_34.JPG test_data\masks\DJI_0767_patch_34.JPG
test_data\images\DJI_0767_patch_35.JPG test_data\masks\DJI_0767_patch_35.JPG
test_data\images\DJI_0767_patch_36.JPG test_data\masks\DJI_0767_patch_36.JPG
test_data\images\DJI_0767_patch_40.JPG test_data\masks\DJI_0767_patch_40.JPG
test_data\images\DJI_0767_patch_41.JPG test_data\masks\DJI_0767_patch_41.JPG
test_data\images\DJI_0767_patch_42.JPG test_data\masks\DJI_0767_patch_42.JPG
test_data\images\DJI_0767_patch_43.JPG test_data\masks\DJI_0767_patch_43.JPG
test_data\images\DJI_0767_patch_44.JPG test_data\masks\DJI_0767_patch_44.JPG
test_data\images\DJI_0767_patch_45.JPG test_data\masks\DJI_0767_patch_45.JPG
test_data\images\DJI_0767_patch_46.JPG test_data\masks\DJI_0767_patch_46.JPG
test_data\images\DJI_0772_patch_00.JPG test_data\masks\DJI_0772_patch_00.JPG
test_data\images\DJI_0772_patch_01.JPG test_data\masks\DJI_0772_patch_01.JPG
test_data\images\DJI_0772_patch_02.JPG test_data\masks\DJI_0772_patch_02.JPG
test_data\images\DJI_0772_patch_03.JPG test_data\masks\DJI_0772_patch_03.JPG
test_data\images\DJI_0772_patch_04.JPG test_data\masks\DJI_0772_patch_04.JPG
test_data\images\DJI_0772_patch_05.JPG test_data\masks\DJI_0772_patch_05.JPG
test_data\images\DJI_0772_patch_06.JPG test_data\masks\DJI_0772_patch_06.JPG
test_data\images\DJI_0772_patch_10.JPG test_data\masks\DJI_0772_patch_10.JPG
test_data\images\DJI_0772_patch_11.JPG test_data\masks\DJI_0772_patch_11.JPG
test_data\images\DJI_0772_patch_12.JPG test_data\masks\DJI_0772_patch_12.JPG
test_data\images\DJI_0772_patch_13.JPG test_data\masks\DJI_0772_patch_13.JPG
test_data\images\DJI_0772_patch_14.JPG test_data\masks\DJI_0772_patch_14.JPG
test_data\images\DJI_0772_patch_15.JPG test_data\masks\DJI_0772_patch_15.JPG
test_data\images\DJI_0772_patch_16.JPG test_data\masks\DJI_0772_patch_16.JPG
test_data\images\DJI_0772_patch_20.JPG test_data\masks\DJI_0772_patch_20.JPG
test_data\images\DJI_0772_patch_21.JPG test_data\masks\DJI_0772_patch_21.JPG
test_data\images\DJI_0772_patch_22.JPG test_data\masks\DJI_0772_patch_22.JPG
test_data\images\DJI_0772_patch_23.JPG test_data\masks\DJI_0772_patch_23.JPG
test_data\images\DJI_0772_patch_24.JPG test_data\masks\DJI_0772_patch_24.JPG
test_data\images\DJI_0772_patch_25.JPG test_data\masks\DJI_0772_patch_25.JPG
test_data\images\DJI_0772_patch_26.JPG test_data\masks\DJI_0772_patch_26.JPG
test_data\images\DJI_0772_patch_30.JPG test_data\masks\DJI_0772_patch_30.JPG
test_data\images\DJI_0772_patch_31.JPG test_data\masks\DJI_0772_patch_31.JPG
test_data\images\DJI_0772_patch_32.JPG test_data\masks\DJI_0772_patch_32.JPG
test_data\images\DJI_0772_patch_33.JPG test_data\masks\DJI_0772_patch_33.JPG
test_data\images\DJI_0772_patch_34.JPG test_data\masks\DJI_0772_patch_34.JPG
test_data\images\DJI_0772_patch_35.JPG test_data\masks\DJI_0772_patch_35.JPG
test_data\images\DJI_0772_patch_36.JPG test_data\masks\DJI_0772_patch_36.JPG
test_data\images\DJI_0772_patch_40.JPG test_data\masks\DJI_0772_patch_40.JPG
test_data\images\DJI_0772_patch_41.JPG test_data\masks\DJI_0772_patch_41.JPG
test_data\images\DJI_0772_patch_42.JPG test_data\masks\DJI_0772_patch_42.JPG
test_data\images\DJI_0772_patch_43.JPG test_data\masks\DJI_0772_patch_43.JPG
test_data\images\DJI_0772_patch_44.JPG test_data\masks\DJI_0772_patch_44.JPG
test_data\images\DJI_0772_patch_45.JPG test_data\masks\DJI_0772_patch_45.JPG
test_data\images\DJI_0772_patch_46.JPG test_data\masks\DJI_0772_patch_46.JPG
test_data\images\DJI_0823_patch_00.JPG test_data\masks\DJI_0823_patch_00.JPG
test_data\images\DJI_0823_patch_01.JPG test_data\masks\DJI_0823_patch_01.JPG
test_data\images\DJI_0823_patch_02.JPG test_data\masks\DJI_0823_patch_02.JPG
test_data\images\DJI_0823_patch_03.JPG test_data\masks\DJI_0823_patch_03.JPG
test_data\images\DJI_0823_patch_04.JPG test_data\masks\DJI_0823_patch_04.JPG
test_data\images\DJI_0823_patch_05.JPG test_data\masks\DJI_0823_patch_05.JPG
test_data\images\DJI_0823_patch_06.JPG test_data\masks\DJI_0823_patch_06.JPG
test_data\images\DJI_0823_patch_10.JPG test_data\masks\DJI_0823_patch_10.JPG
test_data\images\DJI_0823_patch_11.JPG test_data\masks\DJI_0823_patch_11.JPG
test_data\images\DJI_0823_patch_12.JPG test_data\masks\DJI_0823_patch_12.JPG
test_data\images\DJI_0823_patch_13.JPG test_data\masks\DJI_0823_patch_13.JPG
test_data\images\DJI_0823_patch_14.JPG test_data\masks\DJI_0823_patch_14.JPG
test_data\images\DJI_0823_patch_15.JPG test_data\masks\DJI_0823_patch_15.JPG
test_data\images\DJI_0823_patch_16.JPG test_data\masks\DJI_0823_patch_16.JPG
test_data\images\DJI_0823_patch_20.JPG test_data\masks\DJI_0823_patch_20.JPG
test_data\images\DJI_0823_patch_21.JPG test_data\masks\DJI_0823_patch_21.JPG
test_data\images\DJI_0823_patch_22.JPG test_data\masks\DJI_0823_patch_22.JPG
test_data\images\DJI_0823_patch_23.JPG test_data\masks\DJI_0823_patch_23.JPG
test_data\images\DJI_0823_patch_24.JPG test_data\masks\DJI_0823_patch_24.JPG
test_data\images\DJI_0823_patch_25.JPG test_data\masks\DJI_0823_patch_25.JPG
test_data\images\DJI_0823_patch_26.JPG test_data\masks\DJI_0823_patch_26.JPG
test_data\images\DJI_0823_patch_30.JPG test_data\masks\DJI_0823_patch_30.JPG
test_data\images\DJI_0823_patch_31.JPG test_data\masks\DJI_0823_patch_31.JPG
test_data\images\DJI_0823_patch_32.JPG test_data\masks\DJI_0823_patch_32.JPG
test_data\images\DJI_0823_patch_33.JPG test_data\masks\DJI_0823_patch_33.JPG
test_data\images\DJI_0823_patch_34.JPG test_data\masks\DJI_0823_patch_34.JPG
test_data\images\DJI_0823_patch_35.JPG test_data\masks\DJI_0823_patch_35.JPG
test_data\images\DJI_0823_patch_36.JPG test_data\masks\DJI_0823_patch_36.JPG
test_data\images\DJI_0823_patch_40.JPG test_data\masks\DJI_0823_patch_40.JPG
test_data\images\DJI_0823_patch_41.JPG test_data\masks\DJI_0823_patch_41.JPG
test_data\images\DJI_0823_patch_42.JPG test_data\masks\DJI_0823_patch_42.JPG
test_data\images\DJI_0823_patch_43.JPG test_data\masks\DJI_0823_patch_43.JPG
test_data\images\DJI_0823_patch_44.JPG test_data\masks\DJI_0823_patch_44.JPG
test_data\images\DJI_0823_patch_45.JPG test_data\masks\DJI_0823_patch_45.JPG
test_data\images\DJI_0823_patch_46.JPG test_data\masks\DJI_0823_patch_46.JPG
test_data\images\DJI_0917_patch_00.JPG test_data\masks\DJI_0917_patch_00.JPG
test_data\images\DJI_0917_patch_01.JPG test_data\masks\DJI_0917_patch_01.JPG
test_data\images\DJI_0917_patch_02.JPG test_data\masks\DJI_0917_patch_02.JPG
test_data\images\DJI_0917_patch_03.JPG test_data\masks\DJI_0917_patch_03.JPG
test_data\images\DJI_0917_patch_04.JPG test_data\masks\DJI_0917_patch_04.JPG
test_data\images\DJI_0917_patch_05.JPG test_data\masks\DJI_0917_patch_05.JPG
test_data\images\DJI_0917_patch_06.JPG test_data\masks\DJI_0917_patch_06.JPG
test_data\images\DJI_0917_patch_10.JPG test_data\masks\DJI_0917_patch_10.JPG
test_data\images\DJI_0917_patch_11.JPG test_data\masks\DJI_0917_patch_11.JPG
test_data\images\DJI_0917_patch_12.JPG test_data\masks\DJI_0917_patch_12.JPG
test_data\images\DJI_0917_patch_13.JPG test_data\masks\DJI_0917_patch_13.JPG
test_data\images\DJI_0917_patch_14.JPG test_data\masks\DJI_0917_patch_14.JPG
test_data\images\DJI_0917_patch_15.JPG test_data\masks\DJI_0917_patch_15.JPG
test_data\images\DJI_0917_patch_16.JPG test_data\masks\DJI_0917_patch_16.JPG
test_data\images\DJI_0917_patch_20.JPG test_data\masks\DJI_0917_patch_20.JPG
test_data\images\DJI_0917_patch_21.JPG test_data\masks\DJI_0917_patch_21.JPG
test_data\images\DJI_0917_patch_22.JPG test_data\masks\DJI_0917_patch_22.JPG
test_data\images\DJI_0917_patch_23.JPG test_data\masks\DJI_0917_patch_23.JPG
test_data\images\DJI_0917_patch_24.JPG test_data\masks\DJI_0917_patch_24.JPG
test_data\images\DJI_0917_patch_25.JPG test_data\masks\DJI_0917_patch_25.JPG
test_data\images\DJI_0917_patch_26.JPG test_data\masks\DJI_0917_patch_26.JPG
test_data\images\DJI_0917_patch_30.JPG test_data\masks\DJI_0917_patch_30.JPG
test_data\images\DJI_0917_patch_31.JPG test_data\masks\DJI_0917_patch_31.JPG
test_data\images\DJI_0917_patch_32.JPG test_data\masks\DJI_0917_patch_32.JPG
test_data\images\DJI_0917_patch_33.JPG test_data\masks\DJI_0917_patch_33.JPG
test_data\images\DJI_0917_patch_34.JPG test_data\masks\DJI_0917_patch_34.JPG
test_data\images\DJI_0917_patch_35.JPG test_data\masks\DJI_0917_patch_35.JPG
test_data\images\DJI_0917_patch_36.JPG test_data\masks\DJI_0917_patch_36.JPG
test_data\images\DJI_0917_patch_40.JPG test_data\masks\DJI_0917_patch_40.JPG
test_data\images\DJI_0917_patch_41.JPG test_data\masks\DJI_0917_patch_41.JPG
test_data\images\DJI_0917_patch_42.JPG test_data\masks\DJI_0917_patch_42.JPG
test_data\images\DJI_0917_patch_43.JPG test_data\masks\DJI_0917_patch_43.JPG
test_data\images\DJI_0917_patch_44.JPG test_data\masks\DJI_0917_patch_44.JPG
test_data\images\DJI_0917_patch_45.JPG test_data\masks\DJI_0917_patch_45.JPG
test_data\images\DJI_0917_patch_46.JPG test_data\masks\DJI_0917_patch_46.JPG
test_data\images\DJI_1000_patch_00.JPG test_data\masks\DJI_1000_patch_00.JPG
test_data\images\DJI_1000_patch_01.JPG test_data\masks\DJI_1000_patch_01.JPG
test_data\images\DJI_1000_patch_02.JPG test_data\masks\DJI_1000_patch_02.JPG
test_data\images\DJI_1000_patch_03.JPG test_data\masks\DJI_1000_patch_03.JPG
