train_data\images\DJI_0008_patch_00.jpg train_data\masks\DJI_0008_patch_00.png
train_data\images\DJI_0350_patch_23.jpg train_data\masks\DJI_0350_patch_23.png
train_data\images\DJI_0350_patch_24.jpg train_data\masks\DJI_0350_patch_24.png
train_data\images\DJI_0350_patch_25.jpg train_data\masks\DJI_0350_patch_25.png
train_data\images\DJI_0350_patch_26.jpg train_data\masks\DJI_0350_patch_26.png
train_data\images\DJI_0350_patch_30.jpg train_data\masks\DJI_0350_patch_30.png
train_data\images\DJI_0350_patch_31.jpg train_data\masks\DJI_0350_patch_31.png
train_data\images\DJI_0350_patch_32.jpg train_data\masks\DJI_0350_patch_32.png
train_data\images\DJI_0350_patch_33.jpg train_data\masks\DJI_0350_patch_33.png
train_data\images\DJI_0350_patch_34.jpg train_data\masks\DJI_0350_patch_34.png
train_data\images\DJI_0350_patch_35.jpg train_data\masks\DJI_0350_patch_35.png
train_data\images\DJI_0350_patch_36.jpg train_data\masks\DJI_0350_patch_36.png
train_data\images\DJI_0350_patch_40.jpg train_data\masks\DJI_0350_patch_40.png
train_data\images\DJI_0350_patch_41.jpg train_data\masks\DJI_0350_patch_41.png
train_data\images\DJI_0350_patch_42.jpg train_data\masks\DJI_0350_patch_42.png
train_data\images\DJI_0350_patch_43.jpg train_data\masks\DJI_0350_patch_43.png
train_data\images\DJI_0350_patch_44.jpg train_data\masks\DJI_0350_patch_44.png
train_data\images\DJI_0350_patch_45.jpg train_data\masks\DJI_0350_patch_45.png
train_data\images\DJI_0350_patch_46.jpg train_data\masks\DJI_0350_patch_46.png
train_data\images\DJI_0358_patch_00.jpg train_data\masks\DJI_0358_patch_00.png
train_data\images\DJI_0358_patch_01.jpg train_data\masks\DJI_0358_patch_01.png
train_data\images\DJI_0358_patch_02.jpg train_data\masks\DJI_0358_patch_02.png
train_data\images\DJI_0358_patch_03.jpg train_data\masks\DJI_0358_patch_03.png
train_data\images\DJI_0358_patch_04.jpg train_data\masks\DJI_0358_patch_04.png
train_data\images\DJI_0358_patch_05.jpg train_data\masks\DJI_0358_patch_05.png
train_data\images\DJI_0358_patch_06.jpg train_data\masks\DJI_0358_patch_06.png
train_data\images\DJI_0358_patch_10.jpg train_data\masks\DJI_0358_patch_10.png
train_data\images\DJI_0358_patch_11.jpg train_data\masks\DJI_0358_patch_11.png
train_data\images\DJI_0358_patch_12.jpg train_data\masks\DJI_0358_patch_12.png
train_data\images\DJI_0358_patch_13.jpg train_data\masks\DJI_0358_patch_13.png
train_data\images\DJI_0358_patch_14.jpg train_data\masks\DJI_0358_patch_14.png
train_data\images\DJI_0358_patch_15.jpg train_data\masks\DJI_0358_patch_15.png
train_data\images\DJI_0358_patch_16.jpg train_data\masks\DJI_0358_patch_16.png
train_data\images\DJI_0358_patch_20.jpg train_data\masks\DJI_0358_patch_20.png
train_data\images\DJI_0358_patch_21.jpg train_data\masks\DJI_0358_patch_21.png
train_data\images\DJI_0358_patch_22.jpg train_data\masks\DJI_0358_patch_22.png
train_data\images\DJI_0358_patch_23.jpg train_data\masks\DJI_0358_patch_23.png
train_data\images\DJI_0358_patch_24.jpg train_data\masks\DJI_0358_patch_24.png
train_data\images\DJI_0358_patch_25.jpg train_data\masks\DJI_0358_patch_25.png
train_data\images\DJI_0358_patch_26.jpg train_data\masks\DJI_0358_patch_26.png
train_data\images\DJI_0358_patch_30.jpg train_data\masks\DJI_0358_patch_30.png
train_data\images\DJI_0358_patch_31.jpg train_data\masks\DJI_0358_patch_31.png
train_data\images\DJI_0358_patch_32.jpg train_data\masks\DJI_0358_patch_32.png
train_data\images\DJI_0358_patch_33.jpg train_data\masks\DJI_0358_patch_33.png
train_data\images\DJI_0358_patch_34.jpg train_data\masks\DJI_0358_patch_34.png
train_data\images\DJI_0358_patch_35.jpg train_data\masks\DJI_0358_patch_35.png
train_data\images\DJI_0358_patch_36.jpg train_data\masks\DJI_0358_patch_36.png
train_data\images\DJI_0358_patch_40.jpg train_data\masks\DJI_0358_patch_40.png
train_data\images\DJI_0358_patch_41.jpg train_data\masks\DJI_0358_patch_41.png
train_data\images\DJI_0358_patch_42.jpg train_data\masks\DJI_0358_patch_42.png
train_data\images\DJI_0358_patch_43.jpg train_data\masks\DJI_0358_patch_43.png
train_data\images\DJI_0358_patch_44.jpg train_data\masks\DJI_0358_patch_44.png
train_data\images\DJI_0358_patch_45.jpg train_data\masks\DJI_0358_patch_45.png
train_data\images\DJI_0358_patch_46.jpg train_data\masks\DJI_0358_patch_46.png
train_data\images\DJI_0361_patch_00.jpg train_data\masks\DJI_0361_patch_00.png
train_data\images\DJI_0361_patch_01.jpg train_data\masks\DJI_0361_patch_01.png
train_data\images\DJI_0361_patch_02.jpg train_data\masks\DJI_0361_patch_02.png
train_data\images\DJI_0361_patch_03.jpg train_data\masks\DJI_0361_patch_03.png
train_data\images\DJI_0361_patch_04.jpg train_data\masks\DJI_0361_patch_04.png
train_data\images\DJI_0361_patch_05.jpg train_data\masks\DJI_0361_patch_05.png
train_data\images\DJI_0361_patch_06.jpg train_data\masks\DJI_0361_patch_06.png
train_data\images\DJI_0361_patch_10.jpg train_data\masks\DJI_0361_patch_10.png
train_data\images\DJI_0361_patch_11.jpg train_data\masks\DJI_0361_patch_11.png
train_data\images\DJI_0361_patch_12.jpg train_data\masks\DJI_0361_patch_12.png
train_data\images\DJI_0361_patch_13.jpg train_data\masks\DJI_0361_patch_13.png
train_data\images\DJI_0361_patch_14.jpg train_data\masks\DJI_0361_patch_14.png
train_data\images\DJI_0361_patch_15.jpg train_data\masks\DJI_0361_patch_15.png
train_data\images\DJI_0361_patch_16.jpg train_data\masks\DJI_0361_patch_16.png
train_data\images\DJI_0361_patch_20.jpg train_data\masks\DJI_0361_patch_20.png
train_data\images\DJI_0361_patch_21.jpg train_data\masks\DJI_0361_patch_21.png
train_data\images\DJI_0361_patch_22.jpg train_data\masks\DJI_0361_patch_22.png
train_data\images\DJI_0361_patch_23.jpg train_data\masks\DJI_0361_patch_23.png
train_data\images\DJI_0361_patch_24.jpg train_data\masks\DJI_0361_patch_24.png
train_data\images\DJI_0361_patch_25.jpg train_data\masks\DJI_0361_patch_25.png
train_data\images\DJI_0361_patch_26.jpg train_data\masks\DJI_0361_patch_26.png
train_data\images\DJI_0361_patch_30.jpg train_data\masks\DJI_0361_patch_30.png
train_data\images\DJI_0361_patch_31.jpg train_data\masks\DJI_0361_patch_31.png
train_data\images\DJI_0361_patch_32.jpg train_data\masks\DJI_0361_patch_32.png
train_data\images\DJI_0361_patch_33.jpg train_data\masks\DJI_0361_patch_33.png
train_data\images\DJI_0361_patch_34.jpg train_data\masks\DJI_0361_patch_34.png
train_data\images\DJI_0361_patch_35.jpg train_data\masks\DJI_0361_patch_35.png
train_data\images\DJI_0361_patch_36.jpg train_data\masks\DJI_0361_patch_36.png
train_data\images\DJI_0361_patch_40.jpg train_data\masks\DJI_0361_patch_40.png
train_data\images\DJI_0361_patch_41.jpg train_data\masks\DJI_0361_patch_41.png
train_data\images\DJI_0361_patch_42.jpg train_data\masks\DJI_0361_patch_42.png
train_data\images\DJI_0361_patch_43.jpg train_data\masks\DJI_0361_patch_43.png
train_data\images\DJI_0361_patch_44.jpg train_data\masks\DJI_0361_patch_44.png
train_data\images\DJI_0361_patch_45.jpg train_data\masks\DJI_0361_patch_45.png
train_data\images\DJI_0361_patch_46.jpg train_data\masks\DJI_0361_patch_46.png
train_data\images\DJI_0363_patch_00.jpg train_data\masks\DJI_0363_patch_00.png
train_data\images\DJI_0363_patch_01.jpg train_data\masks\DJI_0363_patch_01.png
train_data\images\DJI_0363_patch_02.jpg train_data\masks\DJI_0363_patch_02.png
train_data\images\DJI_0363_patch_03.jpg train_data\masks\DJI_0363_patch_03.png
train_data\images\DJI_0363_patch_04.jpg train_data\masks\DJI_0363_patch_04.png
train_data\images\DJI_0363_patch_05.jpg train_data\masks\DJI_0363_patch_05.png
train_data\images\DJI_0363_patch_06.jpg train_data\masks\DJI_0363_patch_06.png
train_data\images\DJI_0363_patch_10.jpg train_data\masks\DJI_0363_patch_10.png
train_data\images\DJI_0363_patch_11.jpg train_data\masks\DJI_0363_patch_11.png
train_data\images\DJI_0363_patch_12.jpg train_data\masks\DJI_0363_patch_12.png
train_data\images\DJI_0363_patch_13.jpg train_data\masks\DJI_0363_patch_13.png
train_data\images\DJI_0363_patch_14.jpg train_data\masks\DJI_0363_patch_14.png
train_data\images\DJI_0363_patch_15.jpg train_data\masks\DJI_0363_patch_15.png
train_data\images\DJI_0363_patch_16.jpg train_data\masks\DJI_0363_patch_16.png
train_data\images\DJI_0363_patch_20.jpg train_data\masks\DJI_0363_patch_20.png
train_data\images\DJI_0363_patch_21.jpg train_data\masks\DJI_0363_patch_21.png
train_data\images\DJI_0363_patch_22.jpg train_data\masks\DJI_0363_patch_22.png
train_data\images\DJI_0363_patch_23.jpg train_data\masks\DJI_0363_patch_23.png
train_data\images\DJI_0363_patch_24.jpg train_data\masks\DJI_0363_patch_24.png
train_data\images\DJI_0363_patch_25.jpg train_data\masks\DJI_0363_patch_25.png
train_data\images\DJI_0363_patch_26.jpg train_data\masks\DJI_0363_patch_26.png
train_data\images\DJI_0363_patch_30.jpg train_data\masks\DJI_0363_patch_30.png
train_data\images\DJI_0363_patch_31.jpg train_data\masks\DJI_0363_patch_31.png
train_data\images\DJI_0363_patch_32.jpg train_data\masks\DJI_0363_patch_32.png
train_data\images\DJI_0363_patch_33.jpg train_data\masks\DJI_0363_patch_33.png
train_data\images\DJI_0363_patch_34.jpg train_data\masks\DJI_0363_patch_34.png
train_data\images\DJI_0363_patch_35.jpg train_data\masks\DJI_0363_patch_35.png
train_data\images\DJI_0363_patch_36.jpg train_data\masks\DJI_0363_patch_36.png
train_data\images\DJI_0363_patch_40.jpg train_data\masks\DJI_0363_patch_40.png
train_data\images\DJI_0363_patch_41.jpg train_data\masks\DJI_0363_patch_41.png
train_data\images\DJI_0363_patch_42.jpg train_data\masks\DJI_0363_patch_42.png
train_data\images\DJI_0363_patch_43.jpg train_data\masks\DJI_0363_patch_43.png
train_data\images\DJI_0363_patch_44.jpg train_data\masks\DJI_0363_patch_44.png
train_data\images\DJI_0363_patch_45.jpg train_data\masks\DJI_0363_patch_45.png
train_data\images\DJI_0363_patch_46.jpg train_data\masks\DJI_0363_patch_46.png
train_data\images\DJI_0364_patch_00.jpg train_data\masks\DJI_0364_patch_00.png
train_data\images\DJI_0364_patch_01.jpg train_data\masks\DJI_0364_patch_01.png
train_data\images\DJI_0364_patch_02.jpg train_data\masks\DJI_0364_patch_02.png
train_data\images\DJI_0364_patch_03.jpg train_data\masks\DJI_0364_patch_03.png
train_data\images\DJI_0364_patch_04.jpg train_data\masks\DJI_0364_patch_04.png
train_data\images\DJI_0364_patch_05.jpg train_data\masks\DJI_0364_patch_05.png
train_data\images\DJI_0364_patch_06.jpg train_data\masks\DJI_0364_patch_06.png
train_data\images\DJI_0364_patch_10.jpg train_data\masks\DJI_0364_patch_10.png
train_data\images\DJI_0364_patch_11.jpg train_data\masks\DJI_0364_patch_11.png
train_data\images\DJI_0364_patch_12.jpg train_data\masks\DJI_0364_patch_12.png
train_data\images\DJI_0364_patch_13.jpg train_data\masks\DJI_0364_patch_13.png
train_data\images\DJI_0364_patch_14.jpg train_data\masks\DJI_0364_patch_14.png
train_data\images\DJI_0364_patch_15.jpg train_data\masks\DJI_0364_patch_15.png
train_data\images\DJI_0364_patch_16.jpg train_data\masks\DJI_0364_patch_16.png
train_data\images\DJI_0364_patch_20.jpg train_data\masks\DJI_0364_patch_20.png
train_data\images\DJI_0364_patch_21.jpg train_data\masks\DJI_0364_patch_21.png
train_data\images\DJI_0364_patch_22.jpg train_data\masks\DJI_0364_patch_22.png
train_data\images\DJI_0364_patch_23.jpg train_data\masks\DJI_0364_patch_23.png
train_data\images\DJI_0364_patch_24.jpg train_data\masks\DJI_0364_patch_24.png
train_data\images\DJI_0364_patch_25.jpg train_data\masks\DJI_0364_patch_25.png
train_data\images\DJI_0364_patch_26.jpg train_data\masks\DJI_0364_patch_26.png
train_data\images\DJI_0364_patch_30.jpg train_data\masks\DJI_0364_patch_30.png
train_data\images\DJI_0364_patch_31.jpg train_data\masks\DJI_0364_patch_31.png
train_data\images\DJI_0364_patch_32.jpg train_data\masks\DJI_0364_patch_32.png
train_data\images\DJI_0364_patch_33.jpg train_data\masks\DJI_0364_patch_33.png
train_data\images\DJI_0364_patch_34.jpg train_data\masks\DJI_0364_patch_34.png
train_data\images\DJI_0364_patch_35.jpg train_data\masks\DJI_0364_patch_35.png
train_data\images\DJI_0364_patch_36.jpg train_data\masks\DJI_0364_patch_36.png
train_data\images\DJI_0364_patch_40.jpg train_data\masks\DJI_0364_patch_40.png
train_data\images\DJI_0364_patch_41.jpg train_data\masks\DJI_0364_patch_41.png
train_data\images\DJI_0364_patch_42.jpg train_data\masks\DJI_0364_patch_42.png
train_data\images\DJI_0364_patch_43.jpg train_data\masks\DJI_0364_patch_43.png
train_data\images\DJI_0364_patch_44.jpg train_data\masks\DJI_0364_patch_44.png
train_data\images\DJI_0364_patch_45.jpg train_data\masks\DJI_0364_patch_45.png
train_data\images\DJI_0364_patch_46.jpg train_data\masks\DJI_0364_patch_46.png
train_data\images\DJI_0366_patch_00.jpg train_data\masks\DJI_0366_patch_00.png
train_data\images\DJI_0366_patch_01.jpg train_data\masks\DJI_0366_patch_01.png
train_data\images\DJI_0366_patch_02.jpg train_data\masks\DJI_0366_patch_02.png
train_data\images\DJI_0366_patch_03.jpg train_data\masks\DJI_0366_patch_03.png
train_data\images\DJI_0366_patch_04.jpg train_data\masks\DJI_0366_patch_04.png
train_data\images\DJI_0366_patch_05.jpg train_data\masks\DJI_0366_patch_05.png
train_data\images\DJI_0366_patch_06.jpg train_data\masks\DJI_0366_patch_06.png
train_data\images\DJI_0366_patch_10.jpg train_data\masks\DJI_0366_patch_10.png
train_data\images\DJI_0366_patch_11.jpg train_data\masks\DJI_0366_patch_11.png
train_data\images\DJI_0366_patch_12.jpg train_data\masks\DJI_0366_patch_12.png
train_data\images\DJI_0366_patch_13.jpg train_data\masks\DJI_0366_patch_13.png
train_data\images\DJI_0366_patch_14.jpg train_data\masks\DJI_0366_patch_14.png
train_data\images\DJI_0366_patch_15.jpg train_data\masks\DJI_0366_patch_15.png
train_data\images\DJI_0366_patch_16.jpg train_data\masks\DJI_0366_patch_16.png
train_data\images\DJI_0366_patch_20.jpg train_data\masks\DJI_0366_patch_20.png
train_data\images\DJI_0366_patch_21.jpg train_data\masks\DJI_0366_patch_21.png
train_data\images\DJI_0366_patch_22.jpg train_data\masks\DJI_0366_patch_22.png
train_data\images\DJI_0366_patch_23.jpg train_data\masks\DJI_0366_patch_23.png
train_data\images\DJI_0366_patch_24.jpg train_data\masks\DJI_0366_patch_24.png
train_data\images\DJI_0366_patch_25.jpg train_data\masks\DJI_0366_patch_25.png
train_data\images\DJI_0366_patch_26.jpg train_data\masks\DJI_0366_patch_26.png
train_data\images\DJI_0366_patch_30.jpg train_data\masks\DJI_0366_patch_30.png
train_data\images\DJI_0366_patch_31.jpg train_data\masks\DJI_0366_patch_31.png
train_data\images\DJI_0366_patch_32.jpg train_data\masks\DJI_0366_patch_32.png
train_data\images\DJI_0366_patch_33.jpg train_data\masks\DJI_0366_patch_33.png
train_data\images\DJI_0366_patch_34.jpg train_data\masks\DJI_0366_patch_34.png
train_data\images\DJI_0366_patch_35.jpg train_data\masks\DJI_0366_patch_35.png
train_data\images\DJI_0366_patch_36.jpg train_data\masks\DJI_0366_patch_36.png
train_data\images\DJI_0366_patch_40.jpg train_data\masks\DJI_0366_patch_40.png
train_data\images\DJI_0366_patch_41.jpg train_data\masks\DJI_0366_patch_41.png
train_data\images\DJI_0366_patch_42.jpg train_data\masks\DJI_0366_patch_42.png
train_data\images\DJI_0366_patch_43.jpg train_data\masks\DJI_0366_patch_43.png
train_data\images\DJI_0366_patch_44.jpg train_data\masks\DJI_0366_patch_44.png
train_data\images\DJI_0366_patch_45.jpg train_data\masks\DJI_0366_patch_45.png
train_data\images\DJI_0366_patch_46.jpg train_data\masks\DJI_0366_patch_46.png
train_data\images\DJI_0367_patch_00.jpg train_data\masks\DJI_0367_patch_00.png
train_data\images\DJI_0367_patch_01.jpg train_data\masks\DJI_0367_patch_01.png
train_data\images\DJI_0367_patch_02.jpg train_data\masks\DJI_0367_patch_02.png
train_data\images\DJI_0367_patch_03.jpg train_data\masks\DJI_0367_patch_03.png
train_data\images\DJI_0367_patch_04.jpg train_data\masks\DJI_0367_patch_04.png
train_data\images\DJI_0367_patch_05.jpg train_data\masks\DJI_0367_patch_05.png
train_data\images\DJI_0367_patch_06.jpg train_data\masks\DJI_0367_patch_06.png
train_data\images\DJI_0367_patch_10.jpg train_data\masks\DJI_0367_patch_10.png
train_data\images\DJI_0367_patch_11.jpg train_data\masks\DJI_0367_patch_11.png
train_data\images\DJI_0367_patch_12.jpg train_data\masks\DJI_0367_patch_12.png
train_data\images\DJI_0367_patch_13.jpg train_data\masks\DJI_0367_patch_13.png
train_data\images\DJI_0367_patch_14.jpg train_data\masks\DJI_0367_patch_14.png
train_data\images\DJI_0367_patch_15.jpg train_data\masks\DJI_0367_patch_15.png
train_data\images\DJI_0367_patch_16.jpg train_data\masks\DJI_0367_patch_16.png
train_data\images\DJI_0367_patch_20.jpg train_data\masks\DJI_0367_patch_20.png
train_data\images\DJI_0367_patch_21.jpg train_data\masks\DJI_0367_patch_21.png
train_data\images\DJI_0367_patch_22.jpg train_data\masks\DJI_0367_patch_22.png
train_data\images\DJI_0367_patch_23.jpg train_data\masks\DJI_0367_patch_23.png
train_data\images\DJI_0367_patch_24.jpg train_data\masks\DJI_0367_patch_24.png
train_data\images\DJI_0367_patch_25.jpg train_data\masks\DJI_0367_patch_25.png
train_data\images\DJI_0367_patch_26.jpg train_data\masks\DJI_0367_patch_26.png
train_data\images\DJI_0367_patch_30.jpg train_data\masks\DJI_0367_patch_30.png
train_data\images\DJI_0367_patch_31.jpg train_data\masks\DJI_0367_patch_31.png
train_data\images\DJI_0367_patch_32.jpg train_data\masks\DJI_0367_patch_32.png
train_data\images\DJI_0367_patch_33.jpg train_data\masks\DJI_0367_patch_33.png
train_data\images\DJI_0367_patch_34.jpg train_data\masks\DJI_0367_patch_34.png
train_data\images\DJI_0367_patch_35.jpg train_data\masks\DJI_0367_patch_35.png
train_data\images\DJI_0367_patch_36.jpg train_data\masks\DJI_0367_patch_36.png
train_data\images\DJI_0367_patch_40.jpg train_data\masks\DJI_0367_patch_40.png
train_data\images\DJI_0367_patch_41.jpg train_data\masks\DJI_0367_patch_41.png
train_data\images\DJI_0367_patch_42.jpg train_data\masks\DJI_0367_patch_42.png
train_data\images\DJI_0367_patch_43.jpg train_data\masks\DJI_0367_patch_43.png
train_data\images\DJI_0367_patch_44.jpg train_data\masks\DJI_0367_patch_44.png
train_data\images\DJI_0367_patch_45.jpg train_data\masks\DJI_0367_patch_45.png
train_data\images\DJI_0367_patch_46.jpg train_data\masks\DJI_0367_patch_46.png
train_data\images\DJI_0368_patch_00.jpg train_data\masks\DJI_0368_patch_00.png
train_data\images\DJI_0368_patch_01.jpg train_data\masks\DJI_0368_patch_01.png
train_data\images\DJI_0368_patch_02.jpg train_data\masks\DJI_0368_patch_02.png
train_data\images\DJI_0368_patch_03.jpg train_data\masks\DJI_0368_patch_03.png
train_data\images\DJI_0368_patch_04.jpg train_data\masks\DJI_0368_patch_04.png
train_data\images\DJI_0368_patch_05.jpg train_data\masks\DJI_0368_patch_05.png
train_data\images\DJI_0368_patch_06.jpg train_data\masks\DJI_0368_patch_06.png
train_data\images\DJI_0368_patch_10.jpg train_data\masks\DJI_0368_patch_10.png
train_data\images\DJI_0368_patch_11.jpg train_data\masks\DJI_0368_patch_11.png
train_data\images\DJI_0368_patch_12.jpg train_data\masks\DJI_0368_patch_12.png
train_data\images\DJI_0368_patch_13.jpg train_data\masks\DJI_0368_patch_13.png
train_data\images\DJI_0368_patch_14.jpg train_data\masks\DJI_0368_patch_14.png
train_data\images\DJI_0368_patch_15.jpg train_data\masks\DJI_0368_patch_15.png
train_data\images\DJI_0368_patch_16.jpg train_data\masks\DJI_0368_patch_16.png
train_data\images\DJI_0368_patch_20.jpg train_data\masks\DJI_0368_patch_20.png
train_data\images\DJI_0368_patch_21.jpg train_data\masks\DJI_0368_patch_21.png
train_data\images\DJI_0368_patch_22.jpg train_data\masks\DJI_0368_patch_22.png
train_data\images\DJI_0368_patch_23.jpg train_data\masks\DJI_0368_patch_23.png
train_data\images\DJI_0368_patch_24.jpg train_data\masks\DJI_0368_patch_24.png
train_data\images\DJI_0368_patch_25.jpg train_data\masks\DJI_0368_patch_25.png
train_data\images\DJI_0368_patch_26.jpg train_data\masks\DJI_0368_patch_26.png
train_data\images\DJI_0368_patch_30.jpg train_data\masks\DJI_0368_patch_30.png
train_data\images\DJI_0368_patch_31.jpg train_data\masks\DJI_0368_patch_31.png
train_data\images\DJI_0368_patch_32.jpg train_data\masks\DJI_0368_patch_32.png
train_data\images\DJI_0368_patch_33.jpg train_data\masks\DJI_0368_patch_33.png
train_data\images\DJI_0368_patch_34.jpg train_data\masks\DJI_0368_patch_34.png
train_data\images\DJI_0368_patch_35.jpg train_data\masks\DJI_0368_patch_35.png
train_data\images\DJI_0368_patch_36.jpg train_data\masks\DJI_0368_patch_36.png
train_data\images\DJI_0368_patch_40.jpg train_data\masks\DJI_0368_patch_40.png
train_data\images\DJI_0368_patch_41.jpg train_data\masks\DJI_0368_patch_41.png
train_data\images\DJI_0368_patch_42.jpg train_data\masks\DJI_0368_patch_42.png
train_data\images\DJI_0368_patch_43.jpg train_data\masks\DJI_0368_patch_43.png
train_data\images\DJI_0368_patch_44.jpg train_data\masks\DJI_0368_patch_44.png
train_data\images\DJI_0368_patch_45.jpg train_data\masks\DJI_0368_patch_45.png
train_data\images\DJI_0368_patch_46.jpg train_data\masks\DJI_0368_patch_46.png
train_data\images\DJI_0369_patch_00.jpg train_data\masks\DJI_0369_patch_00.png
train_data\images\DJI_0369_patch_01.jpg train_data\masks\DJI_0369_patch_01.png
train_data\images\DJI_0369_patch_02.jpg train_data\masks\DJI_0369_patch_02.png
train_data\images\DJI_0369_patch_03.jpg train_data\masks\DJI_0369_patch_03.png
train_data\images\DJI_0369_patch_04.jpg train_data\masks\DJI_0369_patch_04.png
train_data\images\DJI_0369_patch_05.jpg train_data\masks\DJI_0369_patch_05.png
train_data\images\DJI_0369_patch_06.jpg train_data\masks\DJI_0369_patch_06.png
train_data\images\DJI_0369_patch_10.jpg train_data\masks\DJI_0369_patch_10.png
train_data\images\DJI_0369_patch_11.jpg train_data\masks\DJI_0369_patch_11.png
train_data\images\DJI_0369_patch_12.jpg train_data\masks\DJI_0369_patch_12.png
train_data\images\DJI_0369_patch_13.jpg train_data\masks\DJI_0369_patch_13.png
train_data\images\DJI_0369_patch_14.jpg train_data\masks\DJI_0369_patch_14.png
train_data\images\DJI_0369_patch_15.jpg train_data\masks\DJI_0369_patch_15.png
train_data\images\DJI_0369_patch_16.jpg train_data\masks\DJI_0369_patch_16.png
train_data\images\DJI_0369_patch_20.jpg train_data\masks\DJI_0369_patch_20.png
train_data\images\DJI_0369_patch_21.jpg train_data\masks\DJI_0369_patch_21.png
train_data\images\DJI_0369_patch_22.jpg train_data\masks\DJI_0369_patch_22.png
train_data\images\DJI_0369_patch_23.jpg train_data\masks\DJI_0369_patch_23.png
train_data\images\DJI_0369_patch_24.jpg train_data\masks\DJI_0369_patch_24.png
train_data\images\DJI_0369_patch_25.jpg train_data\masks\DJI_0369_patch_25.png
train_data\images\DJI_0369_patch_26.jpg train_data\masks\DJI_0369_patch_26.png
train_data\images\DJI_0369_patch_30.jpg train_data\masks\DJI_0369_patch_30.png
train_data\images\DJI_0369_patch_31.jpg train_data\masks\DJI_0369_patch_31.png
train_data\images\DJI_0369_patch_32.jpg train_data\masks\DJI_0369_patch_32.png
train_data\images\DJI_0369_patch_33.jpg train_data\masks\DJI_0369_patch_33.png
train_data\images\DJI_0369_patch_34.jpg train_data\masks\DJI_0369_patch_34.png
train_data\images\DJI_0369_patch_35.jpg train_data\masks\DJI_0369_patch_35.png
train_data\images\DJI_0369_patch_36.jpg train_data\masks\DJI_0369_patch_36.png
train_data\images\DJI_0369_patch_40.jpg train_data\masks\DJI_0369_patch_40.png
train_data\images\DJI_0369_patch_41.jpg train_data\masks\DJI_0369_patch_41.png
train_data\images\DJI_0369_patch_42.jpg train_data\masks\DJI_0369_patch_42.png
train_data\images\DJI_0369_patch_43.jpg train_data\masks\DJI_0369_patch_43.png
train_data\images\DJI_0369_patch_44.jpg train_data\masks\DJI_0369_patch_44.png
train_data\images\DJI_0369_patch_45.jpg train_data\masks\DJI_0369_patch_45.png
train_data\images\DJI_0369_patch_46.jpg train_data\masks\DJI_0369_patch_46.png
train_data\images\DJI_0372_patch_00.jpg train_data\masks\DJI_0372_patch_00.png
train_data\images\DJI_0372_patch_01.jpg train_data\masks\DJI_0372_patch_01.png
train_data\images\DJI_0372_patch_02.jpg train_data\masks\DJI_0372_patch_02.png
train_data\images\DJI_0372_patch_03.jpg train_data\masks\DJI_0372_patch_03.png
train_data\images\DJI_0372_patch_04.jpg train_data\masks\DJI_0372_patch_04.png
train_data\images\DJI_0372_patch_05.jpg train_data\masks\DJI_0372_patch_05.png
train_data\images\DJI_0372_patch_06.jpg train_data\masks\DJI_0372_patch_06.png
train_data\images\DJI_0372_patch_10.jpg train_data\masks\DJI_0372_patch_10.png
train_data\images\DJI_0372_patch_11.jpg train_data\masks\DJI_0372_patch_11.png
train_data\images\DJI_0372_patch_12.jpg train_data\masks\DJI_0372_patch_12.png
train_data\images\DJI_0372_patch_13.jpg train_data\masks\DJI_0372_patch_13.png
train_data\images\DJI_0372_patch_14.jpg train_data\masks\DJI_0372_patch_14.png
train_data\images\DJI_0372_patch_15.jpg train_data\masks\DJI_0372_patch_15.png
train_data\images\DJI_0372_patch_16.jpg train_data\masks\DJI_0372_patch_16.png
train_data\images\DJI_0372_patch_20.jpg train_data\masks\DJI_0372_patch_20.png
train_data\images\DJI_0372_patch_21.jpg train_data\masks\DJI_0372_patch_21.png
train_data\images\DJI_0372_patch_22.jpg train_data\masks\DJI_0372_patch_22.png
train_data\images\DJI_0372_patch_23.jpg train_data\masks\DJI_0372_patch_23.png
train_data\images\DJI_0372_patch_24.jpg train_data\masks\DJI_0372_patch_24.png
train_data\images\DJI_0372_patch_25.jpg train_data\masks\DJI_0372_patch_25.png
train_data\images\DJI_0372_patch_26.jpg train_data\masks\DJI_0372_patch_26.png
train_data\images\DJI_0372_patch_30.jpg train_data\masks\DJI_0372_patch_30.png
train_data\images\DJI_0372_patch_31.jpg train_data\masks\DJI_0372_patch_31.png
train_data\images\DJI_0372_patch_32.jpg train_data\masks\DJI_0372_patch_32.png
train_data\images\DJI_0372_patch_33.jpg train_data\masks\DJI_0372_patch_33.png
train_data\images\DJI_0372_patch_34.jpg train_data\masks\DJI_0372_patch_34.png
train_data\images\DJI_0372_patch_35.jpg train_data\masks\DJI_0372_patch_35.png
train_data\images\DJI_0372_patch_36.jpg train_data\masks\DJI_0372_patch_36.png
train_data\images\DJI_0372_patch_40.jpg train_data\masks\DJI_0372_patch_40.png
train_data\images\DJI_0372_patch_41.jpg train_data\masks\DJI_0372_patch_41.png
train_data\images\DJI_0372_patch_42.jpg train_data\masks\DJI_0372_patch_42.png
train_data\images\DJI_0372_patch_43.jpg train_data\masks\DJI_0372_patch_43.png
train_data\images\DJI_0372_patch_44.jpg train_data\masks\DJI_0372_patch_44.png
train_data\images\DJI_0372_patch_45.jpg train_data\masks\DJI_0372_patch_45.png
